LOCATION,INDICATOR,TIME,VALUE
FRA,QGDP,1992-Q4,-0.220696484
FRA,QGDP,1993-Q1,-0.553225521
FRA,QGDP,1993-Q2,0.041404241
FRA,QGDP,1993-Q3,0.124426616
FRA,QGDP,1993-Q4,0.275571148
FRA,QGDP,1994-Q1,0.727992432
FRA,QGDP,1994-Q2,1.086064015
FRA,QGDP,1994-Q3,0.541609465
FRA,QGDP,1994-Q4,0.887409013
FRA,QGDP,1995-Q1,0.57002799
FRA,QGDP,1995-Q2,0.48310039
FRA,QGDP,1995-Q3,0.075952251
FRA,QGDP,1995-Q4,0.172533741
FRA,QGDP,1996-Q1,0.624546995
FRA,QGDP,1996-Q2,0.174430278
FRA,QGDP,1996-Q3,0.613075776
FRA,QGDP,1996-Q4,0.126997724
FRA,QGDP,1997-Q1,0.302418352
FRA,QGDP,1997-Q2,1.151229333
FRA,QGDP,1997-Q3,0.783917676
FRA,QGDP,1997-Q4,1.09327762
FRA,QGDP,1998-Q1,0.838939092
FRA,QGDP,1998-Q2,0.931451026
FRA,QGDP,1998-Q3,0.688595506
FRA,QGDP,1998-Q4,0.762769164
FRA,QGDP,1999-Q1,0.506527306
FRA,QGDP,1999-Q2,0.827362062
FRA,QGDP,1999-Q3,1.219938382
FRA,QGDP,1999-Q4,1.399672002
FRA,QGDP,2000-Q1,0.910825971
FRA,QGDP,2000-Q2,0.989624262
FRA,QGDP,2000-Q3,0.61987286
FRA,QGDP,2000-Q4,0.817254758
FRA,QGDP,2001-Q1,0.544753658
FRA,QGDP,2001-Q2,0.188143713
FRA,QGDP,2001-Q3,0.270607469
FRA,QGDP,2001-Q4,0.022954576
FRA,QGDP,2002-Q1,0.373837789
FRA,QGDP,2002-Q2,0.462405019
FRA,QGDP,2002-Q3,0.415822968
FRA,QGDP,2002-Q4,-0.048717769
FRA,QGDP,2003-Q1,0.198992534
FRA,QGDP,2003-Q2,-0.214248249
FRA,QGDP,2003-Q3,0.66977107
FRA,QGDP,2003-Q4,0.725740742
FRA,QGDP,2004-Q1,0.933092814
FRA,QGDP,2004-Q2,0.648202223
FRA,QGDP,2004-Q3,0.25699377
FRA,QGDP,2004-Q4,0.754433528
FRA,QGDP,2005-Q1,0.270303852
FRA,QGDP,2005-Q2,0.185066307
FRA,QGDP,2005-Q3,0.497600204
FRA,QGDP,2005-Q4,0.782856255
FRA,QGDP,2006-Q1,0.766765232
FRA,QGDP,2006-Q2,0.99993841
FRA,QGDP,2006-Q3,0.011212438
FRA,QGDP,2006-Q4,0.79835412
FRA,QGDP,2007-Q1,0.743638776
FRA,QGDP,2007-Q2,0.756162707
FRA,QGDP,2007-Q3,0.357173752
FRA,QGDP,2007-Q4,0.237523776
FRA,QGDP,2008-Q1,0.394043108
FRA,QGDP,2008-Q2,-0.427139744
FRA,QGDP,2008-Q3,-0.277570152
FRA,QGDP,2008-Q4,-1.451331234
FRA,QGDP,2009-Q1,-1.647188808
FRA,QGDP,2009-Q2,-0.098888493
FRA,QGDP,2009-Q3,0.162337662
FRA,QGDP,2009-Q4,0.7038384
FRA,QGDP,2010-Q1,0.354464466
FRA,QGDP,2010-Q2,0.512216731
FRA,QGDP,2010-Q3,0.645812821
FRA,QGDP,2010-Q4,0.714554998
FRA,QGDP,2011-Q1,0.985524272
FRA,QGDP,2011-Q2,0.030984175
FRA,QGDP,2011-Q3,0.364283841
FRA,QGDP,2011-Q4,0.181196808
FRA,QGDP,2012-Q1,0.085615144
FRA,QGDP,2012-Q2,-0.155599407
FRA,QGDP,2012-Q3,0.194045856
FRA,QGDP,2012-Q4,-0.071729647
FRA,QGDP,2013-Q1,-0.011522761
FRA,QGDP,2013-Q2,0.658195517
FRA,QGDP,2013-Q3,0.014076312
FRA,QGDP,2013-Q4,0.481717444
FRA,QGDP,2014-Q1,0.075637032
FRA,QGDP,2014-Q2,0.12242072
FRA,QGDP,2014-Q3,0.498589969
FRA,QGDP,2014-Q4,0.091804714
FRA,QGDP,2015-Q1,0.478429004
FRA,QGDP,2015-Q2,0.010142642
FRA,QGDP,2015-Q3,0.334120077
FRA,QGDP,2015-Q4,0.150514949
FRA,QGDP,2016-Q1,0.632533934
FRA,QGDP,2016-Q2,-0.163932035
FRA,QGDP,2016-Q3,0.190867929
FRA,QGDP,2016-Q4,0.542344826
FRA,QGDP,2017-Q1,0.817741547
FRA,QGDP,2017-Q2,0.810209539
FRA,QGDP,2017-Q3,0.640460704
FRA,QGDP,2017-Q4,0.846090576
FRA,QGDP,2018-Q1,0.028651935
FRA,QGDP,2018-Q2,0.342670369
FRA,QGDP,2018-Q3,0.416980438
FRA,QGDP,2018-Q4,0.721497198
FRA,QGDP,2019-Q1,0.639795819
FRA,QGDP,2019-Q2,0.52165864
FRA,QGDP,2019-Q3,0.120324174
FRA,QGDP,2019-Q4,-0.388916811
FRA,QGDP,2020-Q1,-5.691945706
FRA,QGDP,2020-Q2,-13.4752883
FRA,QGDP,2020-Q3,18.61954958
FRA,QGDP,2020-Q4,-1.100713123
FRA,QGDP,2021-Q1,0.143243873
FRA,QGDP,2021-Q2,1.334612747
FRA,QGDP,2021-Q3,3.149931807
FRA,QGDP,2021-Q4,0.71059852
GBR,QGDP,1970-Q2,2.361106726
GBR,QGDP,1970-Q3,0.993702609
GBR,QGDP,1970-Q4,0.87143308
GBR,QGDP,1971-Q1,-0.49502952
GBR,QGDP,1971-Q2,1.793203475
GBR,QGDP,1971-Q3,1.77655997
GBR,QGDP,1971-Q4,0.385234788
GBR,QGDP,1972-Q1,0.113615307
