"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ISL","STINT","TOT","PC_PA","A","1995",7.004167,
"ISL","STINT","TOT","PC_PA","A","1996",6.991667,
"ISL","STINT","TOT","PC_PA","A","1997",7.066667,
"ISL","STINT","TOT","PC_PA","A","1998",7.457833,
"ISL","STINT","TOT","PC_PA","A","1999",9.334,
"ISL","STINT","TOT","PC_PA","A","2000",11.21225,
"ISL","STINT","TOT","PC_PA","A","2001",11.9875,
"ISL","STINT","TOT","PC_PA","A","2002",8.974334,
"ISL","STINT","TOT","PC_PA","A","2003",5.349916,
"ISL","STINT","TOT","PC_PA","A","2004",6.288417,
"ISL","STINT","TOT","PC_PA","A","2005",9.35875,
"ISL","STINT","TOT","PC_PA","A","2006",12.35417,
"ISL","STINT","TOT","PC_PA","A","2007",14.29067,
"ISL","STINT","TOT","PC_PA","A","2008",15.82383,
"ISL","STINT","TOT","PC_PA","A","2009",11.28167,
"ISL","STINT","TOT","PC_PA","A","2010",6.789166,
"ISL","STINT","TOT","PC_PA","A","2011",4.256667,
"ISL","STINT","TOT","PC_PA","A","2012",5.513333,
"ISL","STINT","TOT","PC_PA","A","2013",6.188334,
"ISL","STINT","TOT","PC_PA","A","2014",6.0525,
"ISL","STINT","TOT","PC_PA","A","2015",5.891667,
"ISL","STINT","TOT","PC_PA","A","2016",6.279167,
"ISL","STINT","TOT","PC_PA","A","2017",5.063334,
"ISL","STINT","TOT","PC_PA","A","2018",4.7225,
"ISL","STINT","TOT","PC_PA","A","2019",4.393333,
"ISL","STINT","TOT","PC_PA","A","2020",2.006667,
"ISL","STINT","TOT","PC_PA","A","2021",1.789167,
"CAN","STINT","TOT","PC_PA","A","1970",7.453875,
"CAN","STINT","TOT","PC_PA","A","1971",4.569292,
"CAN","STINT","TOT","PC_PA","A","1972",5.098042,
"CAN","STINT","TOT","PC_PA","A","1973",7.301333,
"CAN","STINT","TOT","PC_PA","A","1974",10.55437,
"CAN","STINT","TOT","PC_PA","A","1975",8.02375,
"CAN","STINT","TOT","PC_PA","A","1976",9.276542,
"CAN","STINT","TOT","PC_PA","A","1977",7.492917,
"CAN","STINT","TOT","PC_PA","A","1978",8.71375,
"CAN","STINT","TOT","PC_PA","A","1979",11.96133,
